time,city,temperature,humidity,condition,aqi,pm25,pm10,co,no2
2026-06-03 20:51:33,Bangalore,20.85,89,Clouds,1,6.59,9.79,221.68,10.16
2026-06-03 20:51:34,Kolkata,30.05,74,Clear,5,76.09,101.51,300.33,2.03
2026-06-03 20:51:35,Vijayawada,32.84,48,Clouds,2,14.02,15.61,192.06,3.31
2026-06-03 20:51:36,Pune,26.34,51,Clear,1,1.64,2.64,86.9,2.14
2026-06-03 20:51:36,Ahmedabad,31.58,58,Clouds,3,12.79,50.97,110.91,3.29
2026-06-03 20:51:37,Jaipur,31.36,34,Clear,3,24.23,54.94,186.71,3.33
2026-06-03 21:12:02,Delhi,34.89,27,Clear,4,60.75,77.98,675.99,13.31
2026-06-03 21:12:03,Mumbai,29.67,72,Clear,1,3.78,10.21,75.86,0.06
2026-06-03 21:12:03,Hyderabad,29.06,53,Clouds,1,5.69,8.39,182.56,9.81
2026-06-03 21:12:04,Chennai,31.46,72,Clouds,2,22.14,29.63,460.92,19.57
2026-06-03 21:12:04,Bangalore,20.85,90,Clouds,1,6.59,9.79,221.68,10.16
2026-06-03 21:12:05,Kolkata,30.05,74,Clear,5,76.09,101.51,300.33,2.03
2026-06-03 21:12:06,Vijayawada,32.84,48,Clouds,2,14.02,15.61,192.06,3.31
2026-06-03 21:12:07,Pune,26.34,50,Clear,1,1.64,2.64,86.9,2.14
2026-06-03 21:12:07,Ahmedabad,31.58,58,Clouds,3,12.79,50.97,110.91,3.29
2026-06-03 21:12:08,Jaipur,31.36,34,Clear,3,24.23,54.94,186.71,3.33
2026-06-03 21:17:09,Delhi,34.89,27,Clear,4,60.75,77.98,675.99,13.31
2026-06-03 21:17:09,Mumbai,29.67,72,Clear,1,3.78,10.21,75.86,0.06
2026-06-03 21:17:10,Hyderabad,29.06,53,Clouds,1,5.69,8.39,182.56,9.81
2026-06-03 21:17:10,Chennai,31.46,72,Clouds,2,22.14,29.63,460.92,19.57
2026-06-03 21:17:11,Bangalore,20.85,90,Clouds,1,6.59,9.79,221.68,10.16
2026-06-03 21:17:11,Kolkata,30.05,74,Clear,5,76.09,101.51,300.33,2.03
2026-06-03 21:17:12,Vijayawada,32.84,48,Clouds,2,14.02,15.61,192.06,3.31
2026-06-03 21:17:12,Pune,26.34,50,Clear,1,1.64,2.64,86.9,2.14
2026-06-03 21:17:13,Ahmedabad,31.58,58,Clouds,3,12.79,50.97,110.91,3.29
2026-06-03 21:17:13,Jaipur,31.36,34,Clear,3,24.23,54.94,186.71,3.33
2026-06-03 21:37:08,Delhi,34.13,28,Clear,4,59.79,76.91,666.84,11.89
2026-06-03 21:37:08,Mumbai,29.61,73,Clear,1,3.9,10.22,75.78,0.06
2026-06-03 21:37:09,Hyderabad,28.59,54,Clouds,1,5.27,8.13,185.24,9.82
2026-06-03 21:37:09,Chennai,31.46,72,Clouds,2,19.86,26.77,433.17,17.97
2026-06-03 21:37:10,Bangalore,20.77,90,Clouds,1,6.65,9.78,216.33,9.52
2026-06-03 21:37:11,Kolkata,30.05,74,Clear,5,77.1,102.63,308.93,2.14
2026-06-03 21:37:11,Vijayawada,32.11,50,Clouds,2,13.34,15.03,188.5,3.28
2026-06-03 21:37:12,Pune,26.34,49,Clear,1,1.59,2.46,88.76,2.4
2026-06-03 21:37:12,Ahmedabad,31.58,58,Clouds,3,13.35,54.41,106.7,3.07
2026-06-03 21:37:13,Jaipur,31.36,34,Clear,3,22.94,52.97,180.51,3.06
2026-06-03 21:42:13,Delhi,34.13,28,Clear,4,59.79,76.91,666.84,11.89
2026-06-03 21:42:14,Mumbai,29.61,73,Clear,1,3.9,10.22,75.78,0.06
2026-06-03 21:42:14,Hyderabad,28.59,54,Clouds,1,5.27,8.13,185.24,9.82
2026-06-03 21:42:15,Chennai,31.46,72,Clouds,2,19.86,26.77,433.17,17.97
2026-06-03 21:42:16,Bangalore,20.77,90,Clouds,1,6.65,9.78,216.33,9.52
2026-06-03 21:42:16,Kolkata,29.84,76,Clear,5,77.1,102.63,308.93,2.14
2026-06-03 21:42:16,Vijayawada,32.11,50,Clouds,2,13.34,15.03,188.5,3.28
2026-06-03 21:42:17,Pune,26.34,49,Clear,1,1.59,2.46,88.76,2.4
2026-06-03 21:42:17,Ahmedabad,31.16,61,Clouds,3,13.35,54.41,106.7,3.07
2026-06-03 21:42:18,Jaipur,31.04,35,Clouds,3,22.94,52.97,180.51,3.06
2026-06-03 21:47:18,Delhi,34.13,28,Clear,4,59.79,76.91,666.84,11.89
2026-06-03 21:47:19,Mumbai,29.61,73,Clear,1,3.9,10.22,75.78,0.06
2026-06-03 21:47:20,Hyderabad,28.59,54,Clouds,1,5.27,8.13,185.24,9.82
2026-06-03 21:47:20,Chennai,31.29,71,Clouds,2,19.86,26.77,433.17,17.97
2026-06-03 21:47:21,Bangalore,20.77,90,Clouds,1,6.65,9.78,216.33,9.52
2026-06-03 21:47:21,Kolkata,29.84,76,Clear,5,77.1,102.63,308.93,2.14
2026-06-03 21:47:22,Vijayawada,32.11,50,Clouds,2,13.34,15.03,188.5,3.28
2026-06-03 21:47:22,Pune,26.34,49,Clear,1,1.59,2.46,88.76,2.4
2026-06-03 21:47:23,Ahmedabad,31.16,61,Clouds,3,13.35,54.41,106.7,3.07
2026-06-03 21:47:24,Jaipur,31.04,35,Clouds,3,22.94,52.97,180.51,3.06
2026-06-03 21:52:25,Delhi,34.13,28,Clear,4,59.79,76.91,666.84,11.89
2026-06-03 21:52:25,Mumbai,29.61,73,Clear,1,3.9,10.22,75.78,0.06
2026-06-03 21:52:26,Hyderabad,28.59,54,Clouds,1,5.27,8.13,185.24,9.82
2026-06-03 21:52:27,Chennai,31.29,71,Clouds,2,19.86,26.77,433.17,17.97
2026-06-03 21:52:27,Bangalore,20.77,90,Clouds,1,6.65,9.78,216.33,9.52
2026-06-03 21:52:28,Kolkata,29.84,76,Clear,5,77.1,102.63,308.93,2.14
2026-06-03 21:52:28,Vijayawada,32.11,50,Clouds,2,13.34,15.03,188.5,3.28
2026-06-03 21:52:28,Pune,26.34,49,Clear,1,1.59,2.46,88.76,2.4
2026-06-03 21:52:29,Ahmedabad,31.16,61,Clouds,3,13.35,54.41,106.7,3.07
2026-06-03 21:52:29,Jaipur,31.04,35,Clouds,3,22.94,52.97,180.51,3.06
2026-06-03 21:57:30,Delhi,34.13,28,Clear,4,59.79,76.91,666.84,11.89
2026-06-03 21:57:31,Mumbai,29.61,73,Clear,1,3.9,10.22,75.78,0.06
2026-06-03 21:57:31,Hyderabad,28.59,54,Clouds,1,5.27,8.13,185.24,9.82
2026-06-03 21:57:32,Chennai,31.29,71,Clouds,2,19.86,26.77,433.17,17.97
2026-06-03 21:57:32,Bangalore,20.77,90,Clouds,1,6.65,9.78,216.33,9.52
2026-06-03 21:57:33,Kolkata,29.84,76,Clear,5,77.1,102.63,308.93,2.14
2026-06-03 21:57:34,Vijayawada,32.11,50,Clouds,2,13.34,15.03,188.5,3.28
2026-06-03 21:57:34,Pune,26.34,49,Clear,1,1.59,2.46,88.76,2.4
2026-06-03 21:57:35,Ahmedabad,31.16,61,Clouds,3,13.35,54.41,106.7,3.07
2026-06-03 21:57:36,Jaipur,31.04,35,Clouds,3,22.94,52.97,180.51,3.06
2026-06-03 22:02:36,Delhi,34.13,28,Clear,4,59.79,76.91,666.84,11.89
2026-06-03 22:02:37,Mumbai,29.61,73,Clear,1,3.9,10.22,75.78,0.06
2026-06-03 22:02:37,Hyderabad,28.59,54,Clouds,1,5.27,8.13,185.24,9.82
2026-06-03 22:02:38,Chennai,31.29,71,Clouds,2,19.86,26.77,433.17,17.97
2026-06-03 22:02:38,Bangalore,20.77,90,Clouds,1,6.65,9.78,216.33,9.52
2026-06-03 22:02:39,Kolkata,29.84,76,Clear,5,77.1,102.63,308.93,2.14
2026-06-03 22:02:39,Vijayawada,32.11,50,Clouds,2,13.34,15.03,188.5,3.28
2026-06-03 22:02:40,Pune,26.34,49,Clear,1,1.59,2.46,88.76,2.4
2026-06-03 22:02:40,Ahmedabad,31.16,61,Clouds,3,13.35,54.41,106.7,3.07
2026-06-03 22:02:41,Jaipur,31.04,35,Clouds,3,22.94,52.97,180.51,3.06
2026-06-03 22:07:41,Delhi,34.13,28,Clear,4,59.79,76.91,666.84,11.89
2026-06-03 22:07:42,Mumbai,29.61,73,Clear,1,3.9,10.22,75.78,0.06
2026-06-03 22:07:43,Hyderabad,28.59,54,Clouds,1,5.27,8.13,185.24,9.82
2026-06-03 22:07:43,Chennai,31.29,71,Clouds,2,19.86,26.77,433.17,17.97
2026-06-03 22:07:44,Bangalore,20.77,90,Clouds,1,6.65,9.78,216.33,9.52
2026-06-03 22:07:44,Kolkata,29.84,76,Clear,5,77.1,102.63,308.93,2.14
2026-06-03 22:07:45,Vijayawada,32.11,50,Clouds,2,13.34,15.03,188.5,3.28
2026-06-03 22:07:46,Pune,26.34,49,Clear,1,1.59,2.46,88.76,2.4
2026-06-03 22:07:46,Ahmedabad,31.16,61,Clouds,3,13.35,54.41,106.7,3.07
2026-06-03 22:07:47,Jaipur,31.04,35,Clouds,3,22.94,52.97,180.51,3.06
2026-06-03 22:12:48,Delhi,34.13,28,Clear,4,59.79,76.91,666.84,11.89
2026-06-03 22:12:48,Mumbai,29.61,73,Clear,1,3.9,10.22,75.78,0.06
2026-06-03 22:12:48,Hyderabad,28.59,54,Clouds,1,5.27,8.13,185.24,9.82
2026-06-03 22:12:49,Chennai,31.29,71,Clouds,2,19.86,26.77,433.17,17.97
2026-06-03 22:12:50,Bangalore,20.77,90,Clouds,1,6.65,9.78,216.33,9.52
2026-06-03 22:12:50,Kolkata,29.84,76,Clear,5,77.1,102.63,308.93,2.14
2026-06-03 22:12:51,Vijayawada,32.11,50,Clouds,2,13.34,15.03,188.5,3.28
2026-06-03 22:12:51,Pune,26.34,49,Clear,1,1.59,2.46,88.76,2.4
2026-06-03 22:12:51,Ahmedabad,31.16,61,Clouds,3,13.35,54.41,106.7,3.07
2026-06-03 22:12:52,Jaipur,31.04,35,Clouds,3,22.94,52.97,180.51,3.06
2026-06-03 22:17:53,Delhi,34.13,28,Clear,4,59.79,76.91,666.84,11.89
2026-06-03 22:17:53,Mumbai,29.61,73,Clear,1,3.9,10.22,75.78,0.06
2026-06-03 22:17:54,Hyderabad,28.59,54,Clouds,1,5.27,8.13,185.24,9.82
2026-06-03 22:17:54,Chennai,31.29,70,Clouds,2,19.86,26.77,433.17,17.97
2026-06-03 22:17:55,Bangalore,20.77,90,Clouds,1,6.65,9.78,216.33,9.52
2026-06-03 22:17:55,Kolkata,29.84,76,Clear,5,77.1,102.63,308.93,2.14
2026-06-03 22:17:56,Vijayawada,32.11,50,Clouds,2,13.34,15.03,188.5,3.28
2026-06-03 22:17:57,Pune,26.34,49,Clear,1,1.59,2.46,88.76,2.4
2026-06-03 22:17:57,Ahmedabad,31.16,61,Clouds,3,13.35,54.41,106.7,3.07
2026-06-03 22:17:58,Jaipur,31.04,35,Clouds,3,22.94,52.97,180.51,3.06
2026-06-03 22:22:59,Delhi,34.13,28,Clear,4,59.79,76.91,666.84,11.89
2026-06-03 22:22:59,Mumbai,29.61,73,Clear,1,3.9,10.22,75.78,0.06
2026-06-03 22:23:00,Hyderabad,28.59,54,Clouds,1,5.27,8.13,185.24,9.82
2026-06-03 22:23:00,Chennai,31.29,70,Clouds,2,19.86,26.77,433.17,17.97
2026-06-03 22:23:01,Bangalore,20.77,90,Clouds,1,6.65,9.78,216.33,9.52
2026-06-03 22:23:02,Kolkata,29.84,76,Clear,5,77.1,102.63,308.93,2.14
2026-06-03 22:23:03,Vijayawada,32.11,50,Clouds,2,13.34,15.03,188.5,3.28
2026-06-03 22:23:03,Pune,26.34,49,Clear,1,1.59,2.46,88.76,2.4
2026-06-03 22:23:03,Ahmedabad,31.16,61,Clouds,3,13.35,54.41,106.7,3.07
2026-06-03 22:23:04,Jaipur,31.04,35,Clouds,3,22.94,52.97,180.51,3.06
2026-06-03 22:51:02,Delhi,33.68,29,Clear,4,58.63,75.71,657.59,10.95
2026-06-03 22:51:02,Mumbai,29.55,74,Clear,1,3.99,10.19,75.91,0.06
2026-06-03 22:51:03,Hyderabad,28.15,55,Clouds,1,4.94,7.93,187.81,10.07
2026-06-03 22:51:04,Chennai,31.31,68,Clouds,2,17.58,24.02,406.9,16.84
2026-06-03 22:51:04,Bangalore,20.7,90,Clouds,1,6.92,10.06,214.39,9.26
2026-06-03 22:51:05,Kolkata,29.74,78,Clear,5,78.13,103.58,318.95,2.29
2026-06-03 22:51:06,Vijayawada,31.64,52,Clouds,2,12.31,14.09,185.38,3.23
2026-06-03 22:51:07,Pune,26.34,50,Clouds,1,1.56,2.33,91.64,2.61
2026-06-03 22:51:07,Ahmedabad,30.86,62,Clouds,3,13.75,56.56,103.6,2.87
2026-06-03 22:51:08,Jaipur,28.48,48,Clouds,3,21.4,50.41,173.13,2.83
2026-06-03 23:22:52,Delhi,33.68,29,Clear,4,58.63,75.71,657.59,10.95
2026-06-03 23:22:52,Mumbai,29.55,74,Clear,1,3.99,10.19,75.91,0.06
2026-06-03 23:22:53,Hyderabad,28.15,55,Clouds,1,4.94,7.93,187.81,10.07
2026-06-03 23:22:55,Bangalore,20.22,92,Clouds,1,6.92,10.06,214.39,9.26
2026-06-03 23:22:56,Kolkata,29.74,78,Clear,5,78.13,103.58,318.95,2.29
2026-06-03 23:22:57,Vijayawada,31.64,52,Clouds,2,12.31,14.09,185.38,3.23
2026-06-03 23:22:58,Pune,26.34,54,Clouds,1,1.56,2.33,91.64,2.61
2026-06-03 23:22:59,Ahmedabad,30.86,62,Clouds,3,13.75,56.56,103.6,2.87
2026-06-03 23:22:59,Jaipur,28.48,48,Clouds,3,21.4,50.41,173.13,2.83
2026-06-03 23:54:41,Delhi,33.39,29,Clear,4,57.35,74.58,649.65,10.65
2026-06-03 23:54:43,Mumbai,29.5,74,Clear,1,4.05,10.13,75.95,0.07
2026-06-03 23:54:44,Hyderabad,27.77,59,Clouds,1,4.72,7.76,189.54,10.44
2026-06-04 00:09:46,Chennai,30.82,63,Clouds,2,15.46,21.48,379.57,16.08
2026-06-04 00:09:47,Bangalore,20.22,92,Clouds,1,7.24,10.43,213.79,9.18
2026-06-04 00:09:48,Kolkata,30.02,78,Clear,5,78.66,103.87,328.28,2.45
2026-06-04 00:09:48,Vijayawada,31.43,52,Clouds,2,11.14,13,183.53,3.28
2026-06-04 00:09:49,Pune,26.34,52,Clear,1,1.53,2.22,96.1,2.77
2026-06-04 00:09:49,Ahmedabad,30.73,62,Clear,3,13.99,57.58,101.7,2.77
2026-06-04 00:09:50,Jaipur,28.14,54,Clouds,2,19.72,47.31,166.39,2.75
2026-06-04 00:55:07,Delhi,34.45,30,Clear,4,55.91,73.86,648.98,11.71
2026-06-04 00:55:07,Mumbai,29.39,75,Clouds,1,4.04,10.04,76.16,0.08
2026-06-04 00:55:08,Hyderabad,27.56,62,Clouds,1,4.56,7.72,189.99,10.94
2026-06-04 00:55:09,Chennai,30.8,62,Clouds,2,13.44,19.16,349.73,15.26
2026-06-04 00:55:09,Bangalore,20.63,92,Clouds,1,7.54,10.99,218.26,9.56
2026-06-04 00:55:10,Kolkata,31.69,66,Clear,5,78.83,104.11,345.62,3.24
2026-06-04 00:55:10,Vijayawada,32.36,49,Clouds,2,10.15,12.15,183.19,3.62
2026-06-04 00:55:11,Pune,26.34,55,Clear,1,1.5,2.14,101.51,2.87
2026-06-04 00:55:12,Ahmedabad,30.7,61,Clear,3,14,57.52,101.09,2.86
2026-06-04 00:55:13,Jaipur,28.58,54,Clouds,2,18.15,43.61,164.72,3.11
2026-06-04 02:01:18,Delhi,35.33,29,Clear,4,55.31,74.83,671.54,14.42
2026-06-04 02:01:18,Mumbai,29.58,74,Clouds,1,3.95,9.92,76.37,0.1
2026-06-04 02:01:19,Hyderabad,28.57,58,Clouds,1,4.61,8.02,190.34,9.3
2026-06-04 02:01:20,Chennai,31.37,60,Clouds,2,12.36,18.43,335.33,13.27
2026-06-04 02:01:21,Bangalore,21.55,87,Clouds,1,7.84,11.95,233.22,10.2
2026-06-04 02:01:21,Kolkata,33.48,59,Clear,5,79.28,105.1,374.07,4.38
2026-06-04 02:01:22,Vijayawada,33.97,44,Clouds,1,9.72,11.99,184.46,3.87
2026-06-04 02:01:22,Pune,26.89,53,Clear,1,1.5,2.19,106.58,2.79
2026-06-04 02:01:23,Ahmedabad,31.9,55,Clear,3,13.93,57.09,103.43,3.05
2026-06-04 02:01:24,Jaipur,30.7,45,Clouds,2,16.73,38.69,175.49,4.19
2026-06-04 02:01:21,Bangalore,21.55,87,Clouds,1,7.84,11.95,233.22,10.2
2026-06-04 02:01:21,Kolkata,33.48,59,Clear,5,79.28,105.1,374.07,4.38
2026-06-04 02:01:22,Vijayawada,33.97,44,Clouds,1,9.72,11.99,184.46,3.87
2026-06-04 02:01:22,Pune,26.89,53,Clear,1,1.5,2.19,106.58,2.79
2026-06-04 02:01:23,Ahmedabad,31.9,55,Clear,3,13.93,57.09,103.43,3.05
2026-06-04 02:01:24,Jaipur,30.7,45,Clouds,2,16.73,38.69,175.49,4.19
2026-06-04 02:56:57,Delhi,36.27,27,Clear,4,55.11,75.53,672.71,15.73
2026-06-04 02:56:58,Mumbai,29.88,72,Clouds,1,3.91,9.7,76.67,0.1
2026-06-04 02:56:59,Hyderabad,30.59,50,Clouds,1,5.14,8.79,186.83,7.23
2026-06-04 02:56:59,Chennai,33.11,56,Clouds,2,11.98,18.39,318.39,11
2026-06-04 02:57:00,Bangalore,23.55,77,Clouds,1,8.01,12.59,247.25,9.46
2026-06-04 02:57:00,Kolkata,35.68,48,Clear,5,81.14,107.24,397.85,4.65
2026-06-04 02:57:01,Vijayawada,35.49,39,Clouds,2,10.51,13.05,184.86,3.69
2026-06-04 02:57:02,Pune,28,49,Clear,1,1.52,2.29,109.28,2.64
2026-06-04 02:57:02,Ahmedabad,33.53,49,Clear,3,13.79,56.1,105.16,2.72
2026-06-04 02:57:03,Jaipur,33.1,37,Clouds,2,15.57,33.35,192.29,5.17
2026-06-04 02:57:00,Bangalore,23.55,77,Clouds,1,8.01,12.59,247.25,9.46
2026-06-04 02:57:00,Kolkata,35.68,48,Clear,5,81.14,107.24,397.85,4.65
2026-06-04 02:57:01,Vijayawada,35.49,39,Clouds,2,10.51,13.05,184.86,3.69
2026-06-04 02:57:02,Pune,28,49,Clear,1,1.52,2.29,109.28,2.64
2026-06-04 02:57:02,Ahmedabad,33.53,49,Clear,3,13.79,56.1,105.16,2.72
2026-06-04 02:57:03,Jaipur,33.1,37,Clouds,2,15.57,33.35,192.29,5.17
2026-06-04 03:58:16,Delhi,37.13,25,Clear,4,45.11,61.36,369.42,3.19
2026-06-04 03:58:17,Mumbai,30.22,72,Clouds,1,3.85,9.26,76.76,0.1
2026-06-04 03:58:18,Hyderabad,32.94,41,Clouds,1,6.01,9.01,159.46,5.49
2026-06-04 03:58:18,Chennai,34.06,53,Clouds,1,8.24,11.94,181.71,8.71
2026-06-04 03:58:19,Bangalore,25.15,72,Clouds,1,6.77,10.71,222.33,8.48
2026-06-04 03:58:19,Kolkata,37.67,39,Clear,5,86.96,113.09,410.85,4.16
2026-06-04 03:58:20,Vijayawada,36.97,35,Clouds,2,12.95,15.65,180.76,3.44
2026-06-04 03:58:21,Pune,29.11,45,Clear,1,1.41,2.04,100.32,2.19
2026-06-04 03:58:22,Ahmedabad,35.25,43,Clear,3,13.03,51.15,102.66,2.04
2026-06-04 03:58:22,Jaipur,35.51,30,Clouds,2,15.27,30.08,197.03,4.59
2026-06-04 05:45:09,Delhi,39.61,21,Clear,4,42.06,63.28,298.94,1.36
2026-06-04 05:45:10,Mumbai,30.31,72,Clouds,1,3.71,8.19,76.53,0.05
2026-06-04 05:45:11,Hyderabad,35.88,32,Clouds,2,15.94,18.29,131.51,2.47
2026-06-04 05:45:12,Chennai,36.21,48,Clouds,1,4.87,7.11,131.49,6.18
2026-06-04 05:45:13,Bangalore,29.34,59,Clouds,1,5.26,8.41,197.35,7.97
2026-06-04 05:45:14,Kolkata,40.53,30,Clear,5,103.79,130.67,415.66,3.34
2026-06-04 05:45:14,Vijayawada,39.48,30,Clouds,2,22.02,24.91,173.28,1.88
2026-06-04 05:45:15,Pune,33.56,36,Clear,1,2.8,3.48,93.64,1.05
2026-06-04 05:45:15,Ahmedabad,38.34,35,Clear,2,13.6,45.82,99.96,1.16
2026-06-04 05:45:16,Jaipur,38.43,23,Clouds,2,23.47,36.8,180.2,1.71
2026-06-04 10:04:42,Delhi,41.81,16,Clear,3,26.75,47.94,208.44,1.1
2026-06-04 10:04:43,Mumbai,30.62,75,Clear,1,3.61,6.75,75.94,0.03
